q1,q2,q3,q4,q5,q6,x,y,z
0.036783,0.98904,-0.78938,0.0021843,-0.24032,0,0.607,0.0223,0.45
0.1872,-0.20353,0.91533,-0.0025531,0.2527,0,0.2563,0.0485,0.351
-0.42412,0.36243,-0.2258,-0.00075262,-0.07169,0,0.4341,-0.196,0.566
0.0283,0.17211,-0.3057,0.00068234,-0.081793,0,0.4064,0.0115,0.681
-0.24636,0.21724,-0.064972,-0.00027401,-0.026408,0,0.4255,-0.107,0.568
0.23417,-0.41805,0.57193,-0.0052606,0.16587,0,0.2606,0.0621,0.537
0.45803,-0.048077,0.25194,0.00029189,0.06459,0,0.3286,0.162,0.548
0.39439,0.38624,0.016355,0.001197,-0.015388,0,0.4373,0.182,0.459
-0.28616,0.46631,0.36546,-0.0019185,0.063914,0,0.4044,-0.119,0.2989
-0.26441,0.020058,0.47958,-0.00049092,0.11806,0,0.35012,-0.0948,0.435
0.37609,0.26931,0.35018,0.001796,0.071952,0,0.3849,0.152,0.386
-0.46733,-0.12338,0.45843,-7.2805e-05,0.12165,0,0.3032,-0.153,0.493
-0.076207,0.2039,0.030069,-0.0001688,-0.0030032,0,0.4335,-0.0331,0.536
-0.26188,0.42417,0.14415,-0.0011019,0.012869,0,0.4477,-0.12,0.393
0.55285,-0.3236,0.53638,-0.0020147,0.15121,0,0.248,0.153,0.525
-0.002661,0.58311,-0.56633,-0.00014184,-0.16588,0,0.523,-0.00139,0.591
-0.04381,0.32055,0.34118,-0.00022004,0.066072,0,0.4197,-0.0184,0.368
-0.068134,0.43764,0.12995,-0.00046287,0.0084891,0,0.466,-0.0318,0.392
-0.3289,-0.093993,0.51065,-1.8128e-05,0.1328,0,0.3223,-0.11,0.463
-0.28753,0.2671,0.18499,-0.00094192,0.031325,0,0.4193,-0.124,0.448
-0.047066,-0.6674,0.88501,0.0021663,0.27759,0,0.206,-0.00966,0.471
-0.61258,-0.32171,0.67762,0.0024497,0.19245,0,0.232,-0.163,0.469
0.24599,0.017015,0.64129,-7.4094e-05,0.16036,0,0.3254,0.0817,0.378
-0.23399,-0.59469,0.78045,0.0092019,0.23893,0,0.218,-0.0518,0.497
0.24194,0.55703,0.34788,0.0018438,0.054074,0,0.4133,0.102,0.266
-0.14056,0.44052,0.25098,-0.00076186,0.037434,0,0.4417,-0.0625,0.3476
0.021584,0.22208,0.506,-4.1843e-05,0.11283,0,0.3794,0.00819,0.351
-0.068512,-0.00019328,0.18223,1.6789e-05,0.044474,0,0.3789,-0.026,0.558
0.75237,-0.37573,0.45991,-0.0011321,0.13316,0,0.203,0.19,0.57
-0.060367,-0.22171,0.51711,0.0014204,0.14113,0,0.3146,-0.019,0.502
0.34128,0.25469,0.25197,0.0012741,0.048457,0,0.4026,0.143,0.428
0.3437,-0.19819,0.73799,-0.0016145,0.20012,0,0.2778,0.0994,0.411
-0.094841,0.5243,0.13127,-0.00078038,0.0039748,0,0.472,-0.0449,0.351
0.13327,0.52835,-0.22792,0.001464,-0.080959,0,0.511,0.0685,0.485
-0.085896,0.025047,0.07751,-6.9023e-05,0.01759,0,0.3844,-0.0331,0.59
-0.25752,-0.041392,0.041124,-3.2153e-06,0.012067,0,0.35084,-0.0924,0.629
-0.55307,-0.63809,1.1979,0.077587,-1.2963,0,0.155,-0.102,0.454
-0.19178,0.35226,-0.050101,-0.0005797,-0.029632,0,0.463,-0.0899,0.501
-0.088314,0.44632,0.2022,-0.00051543,0.025334,0,0.454,-0.0402,0.362
-0.28217,0.64013,-0.2391,-0.0017955,-0.089074,0,0.514,-0.149,0.431
-0.24872,-0.046704,-0.21083,0.00069087,-0.048397,0,0.3201,-0.0813,0.726
-0.35304,0.059702,0.11919,-0.00035366,0.026185,0,0.3718,-0.137,0.56
