x,y,z
0.10399999999999998,-0.0708,0.40900000000000003
0.31779999999999997,-0.117,0.386
0.28359999999999996,-0.135,0.42000000000000004
0.2532,-0.0941,0.3376
0.2873,-0.139,0.438
0.46199999999999997,-0.0737,0.3226
0.511,0.00735,0.363
0.21399999999999997,-0.0497,0.427
0.30679999999999996,0.19,0.499
0.39159999999999995,-0.0286,0.33999999999999997
0.17099999999999999,0.0675,0.5680000000000001
0.3697,0.164,0.634
0.35351,-0.18,0.5720000000000001
0.26749999999999996,-0.128,0.636
0.34062,-0.00457,0.3353
0.40859999999999996,-0.173,0.518
0.28709999999999997,0.111,0.347
0.481,-0.0285,0.495
0.19099999999999998,-0.0783,0.604
0.4094,0.0436,0.585
0.3801,-0.0457,0.6
0.4266,-0.281,0.472
0.40359999999999996,0.141,0.679
0.5,-0.0723,0.469
0.208,0.0777,0.663
0.23199999999999998,-0.0188,0.521
0.37629999999999997,0.0447,0.625
0.49,-0.0144,0.41700000000000004
0.304,0.119,0.6599999999999999
0.489,0.166,0.579
0.19999999999999998,-0.0534,0.497
0.3692,-0.118,0.624
0.21699999999999997,0.122,0.508
0.5,-0.00376,0.43
0.492,0.0285,0.53
0.209,0.0722,0.3291
0.3318,0.0213,0.40800000000000003
0.3281,0.0142,0.644
0.3286,-0.115,0.653
0.44489999999999996,0.0422,0.675
0.19499999999999998,-0.00475,0.671
0.39339999999999997,0.055,0.358
0.482,-0.0303,0.661
0.4457,-0.0498,0.383
0.37079999999999996,-0.153,0.639
0.471,-0.0758,0.41800000000000004
0.501,-0.0363,0.633
0.4032,-0.172,0.546
0.505,-0.15,0.41900000000000004
0.5329999999999999,-0.0626,0.451
0.40349999999999997,-0.00594,0.694
0.46199999999999997,-0.211,0.5349999999999999
0.23199999999999998,-0.14,0.53
0.2643,-0.0681,0.599
0.497,-0.221,0.45699999999999996
0.48,-0.0634,0.436
0.479,-0.182,0.526
0.10299999999999998,0.0125,0.512
0.4332,0.15,0.389
0.27799999999999997,0.148,0.41500000000000004
0.28169999999999995,-0.0945,0.6639999999999999
0.548,-0.0631,0.5569999999999999
0.3767,-0.0708,0.509
0.15999999999999998,0.128,0.565
0.478,-0.065,0.438
0.3973,0.0411,0.603
0.28559999999999997,-0.0987,0.46299999999999997
0.3242,-0.0255,0.5720000000000001
0.30219999999999997,-0.071,0.3395
0.34364,0.0236,0.2732
0.36229999999999996,-0.0279,0.608
0.35061299999999995,0.0716,0.6839999999999999
0.483,-0.0153,0.5740000000000001
0.3374,-0.0672,0.366
0.146,0.211,0.5800000000000001
0.22799999999999998,0.0416,0.444
0.3292,0.0424,0.7070000000000001
0.33249999999999996,0.0362,0.305
0.3727,0.117,0.505
0.4064,-0.103,0.623
0.3036,0.0287,0.3481
0.2903,0.121,0.52
0.496,-0.00463,0.544
0.3751,0.0903,0.3419
0.46299999999999997,-0.0635,0.439
0.350189,-0.121,0.46299999999999997
0.504,0.0541,0.434
0.481,-0.0701,0.522
0.5,-0.0462,0.371
0.3792,-0.059,0.402
0.2597,0.106,0.6739999999999999
0.378,-0.124,0.642
0.512,0.0634,0.46199999999999997
0.2779,0.0389,0.4
0.26499999999999996,0.154,0.622
0.486,-0.0111,0.41400000000000003
0.43379999999999996,-0.0398,0.531
0.55,0.0929,0.46799999999999997
0.31989999999999996,-0.144,0.46399999999999997
0.3272,0.00326,0.5609999999999999
0.2971,0.131,0.511
0.21699999999999997,-0.147,0.432
0.497,-0.0499,0.506
0.35857999999999995,-0.166,0.609
0.477,-0.0441,0.722
0.3322,0.0715,0.55
0.35940999999999995,-0.133,0.538
0.3227,-0.0335,0.72
0.20999999999999996,-0.0816,0.437
0.2863,-0.00895,0.552
0.40549999999999997,0.105,0.443
0.25129999999999997,0.106,0.452
0.41209999999999997,0.0393,0.624
0.3373,0.171,0.46599999999999997
0.23199999999999998,0.126,0.49
0.239,-0.0412,0.422
0.2662,0.127,0.40700000000000003
0.3997,0.123,0.6599999999999999
0.2728,-0.221,0.41500000000000004
0.35779,0.0275,0.7130000000000001
0.45799999999999996,-0.101,0.469
0.3291,0.0941,0.381
0.32289999999999996,0.187,0.54
0.178,0.0702,0.475
0.3837,-0.118,0.42100000000000004
0.3312,0.0917,0.528
0.37189999999999995,-0.129,0.403
0.4265,0.0147,0.7090000000000001
0.569,-0.0744,0.567
0.46199999999999997,-0.032,0.5429999999999999
0.31739999999999996,0.095,0.3337
0.487,-0.00853,0.42000000000000004
0.3863,-0.0734,0.483
0.503,-0.162,0.589
0.25139999999999996,-0.0983,0.526
0.44639999999999996,0.109,0.569
0.42179999999999995,0.0726,0.6779999999999999
0.3107,0.083,0.5700000000000001
0.31639999999999996,0.128,0.598
0.21699999999999997,-0.101,0.357
0.22799999999999998,-0.0661,0.661
0.3369,-0.144,0.505
0.3755,-0.149,0.5549999999999999
0.3349,-0.219,0.41900000000000004
0.4023,-0.176,0.362
0.43679999999999997,-0.0715,0.385
0.3696,0.0724,0.633
0.42829999999999996,-0.0434,0.38
0.475,-0.118,0.469
0.473,0.00793,0.623
0.23399999999999999,0.138,0.5589999999999999
0.2628,-0.0768,0.5389999999999999
0.3896,-0.0315,0.7030000000000001
0.489,0.0341,0.46199999999999997
0.38049999999999995,-0.0745,0.3164
0.521,0.0158,0.6
0.473,-0.0586,0.629
0.14899999999999997,0.165,0.403
0.4327,0.137,0.6
0.3921,-0.0512,0.716
0.3786,0.12,0.6599999999999999
0.22799999999999998,0.0558,0.41200000000000003
0.349022,-0.153,0.515
0.15399999999999997,-0.071,0.48
0.296,-0.0468,0.365
0.4294,-0.0219,0.531
0.2623,0.00431,0.4
0.36669999999999997,-0.131,0.5660000000000001
0.21399999999999997,-0.0221,0.633
0.2583,-0.0764,0.608
0.22299999999999998,-0.0508,0.441
0.43889999999999996,0.158,0.7010000000000001
0.3947,-0.00223,0.62
0.3732,0.0474,0.694
0.37089999999999995,0.0695,0.3494
0.4205,-0.156,0.569
0.25539999999999996,-0.0841,0.3288
0.2668,0.0333,0.683
0.36729999999999996,-0.0382,0.6699999999999999
0.38589999999999997,0.136,0.482
0.4483,0.0758,0.41800000000000004
0.3207,0.0384,0.5609999999999999
0.25239999999999996,-0.0647,0.6970000000000001
