q1,q2,q3,q4,q5,q6,x,y,z
-0.55899,1.389,-0.58446,-0.011525,-0.20694,0,0.49599,-0.31006,0.12925
-0.019074,1.5128,0.13952,-0.00099459,-0.069013,0,0.31377,-0.0059807,-0.073035
-0.80419,0.30972,0.37204,-0.0030711,0.077835,0,0.28656,-0.29756,0.36161
-1.1716,1.4734,0.23615,-0.028456,-1.1508,0,0.14062,-0.32848,-0.03068
1.9454,0.0041673,1.1986,0.014122,-1.2606,0,-0.089464,0.2302,0.30757
2.538,1.224,-0.46947,0.47787,-0.66186,0,-0.47437,0.35175,0.21566
1.2083,-0.074243,1.0447,-0.0062809,-1.1658,0,0.098527,0.26098,0.36357
-0.14887,0.59224,-0.4774,-0.0024398,-0.14275,0,0.52486,-0.078694,0.55096
-1.2784,0.70658,-0.60685,-2.3917e-05,-0.19095,0,0.15982,-0.53093,0.5415
-2.7622,1.9199,-0.7853,-2.7925,0.53766,4.7812,-0.47126,-0.17429,-0.087894
1.7875,1.6023,0.60757,-0.076962,-1.2656,0,-0.045582,0.18244,-0.060861
-0.55877,1.3437,0.49498,-0.16115,-1.3584,0,0.27189,-0.15668,0.0079933
-0.63432,0.00057137,0.74805,-0.0035191,0.1961,0,0.25067,-0.18449,0.34739
2.5576,1.7687,-1.3687,1.3796,-0.7147,0,-0.49483,0.38254,0.1709
0.79066,1.2119,0.53533,0.10443,-1.3,0,0.23955,0.2318,0.044175
1.0556,1.8181,0.12184,0.05559,0.02437,0,0.093779,0.16583,-0.1495
-1.4555,0.64915,0.12889,0.10802,-0.076093,0,0.054909,-0.47928,0.29646
2.8359,1.9199,-0.039886,-2.7925,1.6198,0,-0.27292,0.11193,-0.12853
1.9913,0.33831,0.087202,0.058348,-0.042739,0,-0.18778,0.42033,0.45689
2.0148,1.3378,-0.07506,0.55021,-0.87038,0,-0.1801,0.44562,0.055801
-1.9534,0.72456,-0.69488,-0.043021,-0.20391,0,-0.20616,-0.51401,0.56565
0.62577,1.0688,0.20963,0.011055,-0.0073534,0,0.33395,0.24132,0.082113
-1.2433,0.80352,0.68581,-0.030133,-1.3465,0,0.11779,-0.34011,0.17188
0.50118,-1.7733,-0.59929,-0.092082,0.32989,0,-0.49271,-0.27237,0.45946
-0.62935,0.66108,-0.019031,-0.0033394,-0.037523,0,0.41132,-0.29948,0.33741
-1.0294,0.14102,1.2217,-0.065104,0.77493,0,0.064318,-0.11332,0.21558
-2.8798,1.5303,1.0397,0.69797,2.0944,0,-0.045727,-0.053739,0.13834
-2.8798,1.9199,-0.66595,1.2488,-1.4015,3.4942,-0.44191,-0.048712,-0.072022
1.5853,0.55337,-0.23506,0.0050475,-0.11007,0,-0.007515,0.52103,0.47679
2.0382,1.3611,0.37423,-0.10981,-1.2957,0,-0.16376,0.30761,0.0062247
1.5875,1.1324,-0.0043913,-0.34299,-2.0944,0,-0.028919,0.47432,0.2194
1.43,1.2783,0.24059,-0.39419,-1.1068,0,0.032373,0.40462,0.040809
-1.4293,1.0427,-0.3766,0.025874,-0.8722,0,0.080996,-0.57874,0.3092
-0.30157,-0.70367,1.0244,0.006754,0.33552,0,0.18244,-0.056582,0.42315
-0.70321,0.27681,0.12948,-0.0013358,0.017976,0,0.33904,-0.28744,0.46504
-2.8798,0.67815,0.37868,0.93702,-0.88984,3.0954,-0.42696,-0.067738,0.24851
-2.7529,1.8074,0.32603,2.7925,2.0944,0,-0.20415,-0.10666,-0.066889
0.72029,1.8089,-0.91507,0.021421,-0.30268,0,0.42565,0.37293,-0.0053545
-0.43104,0.75115,-0.53278,-0.0031115,-0.16227,0,0.51438,-0.23651,0.48622
-0.40153,1.175,-1.1702,-0.0058203,-0.33001,0,0.57045,-0.24206,0.48566
-1.5517,-0.58033,0.63135,-0.032269,0.1778,0,0.0039193,-0.22723,0.55398
2.6662,1.6163,0.30524,-2.7925,-2.0944,-0.25094,-0.17784,0.067549,0.023992
0.28927,0.72713,0.66365,0.0053035,0.12012,0,0.29397,0.087538,0.13525
1.9468,1.1269,-0.080912,0.0048859,-1.1686,0,-0.1933,0.49047,0.18847
2.1951,1.0909,-0.94906,2.1959,1.2507,2.4833,-0.3819,0.43533,0.47766
0.058235,-1.8138,0.80769,-0.0079379,0.24615,0,-0.10721,-0.00639,0.56721
-1.121,-0.90222,1.2217,0.0051868,-0.16113,0,0.072962,-0.15125,0.41761
-1.3916,-0.20281,0.36017,-0.0052439,0.092425,0,0.057813,-0.31943,0.55848
-2.1332,-0.2567,1.1478,-0.22674,-1.3003,0,-0.11499,-0.21167,0.38779
1.2461,1.6193,0.30438,1.032,1.1553,0,0.0067897,0.19739,-0.04626
-0.61738,1.533,-0.29155,-0.019231,-0.1501,0,0.38086,-0.27015,-0.026793
-1.7594,1.0364,0.39235,-0.22394,-1.2173,0,-0.062732,-0.40862,0.12314
-1.6866,0.60175,-0.2365,-0.0071432,-0.12571,0,-0.061165,-0.52633,0.45301
1.5571,0.69517,-0.32528,-0.06541,-0.2173,0,0.0065394,0.55093,0.44246
